tempo,temp,pressao,altitude,luz,gas1,gas2,gas3,Air,humidade,temp,poeira
Segunda-27/9/2020  12:06:02,35.32,93204.46,699,18,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:03,35.30,93200.30,700,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:05,35.32,93204.66,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:07,35.35,93206.39,699,18,17,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:08,35.33,93199.86,700,18,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:10,35.33,93201.08,699,18,19,0,0,58,32.00,Temp: ,0.62
Segunda-27/9/2020  12:06:12,35.35,93207.25,699,18,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:14,35.33,93200.03,700,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:15,35.36,93203.99,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:17,35.37,93202.87,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:19,35.37,93200.06,700,18,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:20,35.39,93198.11,700,18,17,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:22,35.42,93201.46,699,18,20,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:24,35.44,93202.11,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:26,35.47,93200.88,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:27,35.48,93199.52,700,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:29,35.48,93200.25,700,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:31,35.48,93200.74,699,18,17,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:32,35.48,93203.55,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:34,35.46,93207.54,699,19,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:36,35.45,93204.08,699,19,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:38,35.45,93205.99,699,19,19,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:39,35.42,93205.80,699,19,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:41,35.43,93201.49,699,19,19,0,0,59,32.00,Temp: ,0.62
Segunda-27/9/2020  12:06:43,35.42,93203.67,699,19,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:44,35.40,93203.41,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:46,35.39,93202.13,699,18,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:48,35.40,93206.53,699,19,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:50,35.38,93200.71,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:51,35.41,93200.32,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:53,35.44,93200.89,699,18,18,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:55,35.45,93199.71,700,18,17,0,0,59,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:56,35.49,93203.75,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:06:58,35.51,93201.49,699,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:00,35.52,93200.02,700,18,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:02,35.53,93198.86,700,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:03,35.54,93197.67,700,18,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:05,35.57,93198.91,700,19,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:07,35.56,93196.46,700,18,17,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:09,35.60,93200.28,699,19,19,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:10,35.61,93201.39,699,19,18,0,0,58,32.00,Temp: ,-1
Segunda-27/9/2020  12:07:12,35.58,93200.28,700,19,18,0,0,58,32.00,Temp: ,0.62
